method,strain,protein,EBC_ID,best_rank,n_complexes,total_interactions,n_hydrophobic,n_hbond,n_water_bridge,n_salt_bridge,n_pi_stack,n_pi_cation,n_halogen_bond,n_metal_complex
AD,congo,OPG092,EBC-44165,83,1,185,108,67,0,3,5,2,0,0
AD,congo,OPG092,EBC-44358,71,1,189,106,67,0,8,0,3,5,0
AD,congo,OPG092,EBC-44365,66,1,241,179,43,0,15,1,1,2,0
AD,congo,OPG092,EBC-44449,55,1,190,139,36,0,3,1,0,11,0
AD,congo,OPG092,EBC-46024,63,1,206,129,71,0,3,1,0,2,0
AD,congo,OPG092,EBC-46057,24,1,275,208,61,0,1,4,1,0,0
AD,congo,OPG092,EBC-46294,5,1,303,154,127,0,15,1,5,1,0
AD,congo,OPG092,EBC-47024,37,1,246,125,114,0,4,2,1,0,0
AD,congo,OPG092,EBC-47073,80,1,251,128,99,0,8,2,3,11,0
AD,congo,OPG092,EBC-48186,2,1,173,124,35,0,1,0,0,13,0
AD,congo,OPG092,EBC-63089,10,1,232,124,98,0,5,0,3,2,0
AD,congo,OPG092,EBC-71032,48,1,191,159,24,0,3,3,2,0,0
AD,congo,OPG092,EBC-80124,89,1,241,212,25,0,3,0,1,0,0
AD,congo,OPG092,EBC-84050,18,1,252,144,76,0,18,5,5,4,0
AD,congo,OPG092,EBC-99051,56,1,183,121,52,0,2,4,1,3,0
AD,congo,OPG112,EBC-00625,68,1,147,108,33,0,5,0,1,0,0
AD,congo,OPG112,EBC-00636,51,1,158,97,53,0,7,1,0,0,0
AD,congo,OPG112,EBC-00692,72,1,177,72,92,0,12,1,0,0,0
AD,congo,OPG112,EBC-00696,45,1,203,150,50,0,1,0,0,2,0
AD,congo,OPG112,EBC-00705,85,1,171,75,83,0,7,1,0,5,0
AD,congo,OPG112,EBC-02079,16,1,137,78,49,0,9,1,0,0,0
AD,congo,OPG112,EBC-06061,18,1,155,86,57,0,10,0,2,0,0
AD,congo,OPG112,EBC-06062,88,1,210,125,67,0,8,6,4,0,0
AD,congo,OPG112,EBC-07157,15,1,149,78,57,0,12,0,2,0,0
AD,congo,OPG112,EBC-07557,97,1,191,104,73,0,9,3,2,0,0
AD,congo,OPG112,EBC-07618,86,1,170,100,60,0,2,1,0,7,0
AD,congo,OPG112,EBC-07744,17,1,206,153,47,0,2,2,2,0,0
